;U in V;r in cm;B in mT
;250;2;2,86
;250;3;1,85
;250;4;1,36
;250;5;1,06
;240;2;2,83
;240;3;1,82
;240;4;1,32
;240;5;1,04
;230;2;2,79
;230;3;1,77
;230;4;1,29
;230;5;1,00
;220;2;2,74
;220;3;1,74
;220;4;1,24
;220;5;0,99
;210;2;2,66
;210;3;1,71
;210;4;1,23
;210;5;0,98
;200;2;2,65
;200;3;1,69
;200;4;1,22
;200;5;0,97
;190;2;2,57
;190;3;1,66
;190;4;1,20
;190;5;0,94
;180;2;2,51
;180;3;1,62
;180;4;1,16
;180;5;0,90
;170;2;2,45
;170;3;1,57
;170;4;1,13
;170;5;0,88
;160;2;2,40
;160;3;1,54
;160;4;1,11
;160;5;0,86
;150;2;2,34
;150;3;1,49
;150;4;1,08
;150;5;0,84